Primary_Site,Protocol,Principal_Investigator,Date_Opened,Date_Closed,Study_Phase,Title,Study_Phase_numeric,Code_title,Study_Duration
Colon,N-626620,"alarcon velasco, s",2020-07-15,2023-02-27,II,(S1922) A Randomized Phase II Selection Study of Ramucirumab and Paclitaxel versus FOLFIRI in Refractory Small Bowel Adenocarcinoma,2,S1922,957 days
Other Hematopoietic,N-71918,"bambach, b",2018-10-11,2022-04-15,III,"(ACCL1633) The Effectiveness of Lactobacillus plantarum (LBP, IND# 17339) in Preventing Acute Graft-versus-Host Disease (GvHD) in Children undergoing Alternative Hematopoietic Progenitor Cell Transplantation (HCT)",3,ACCL1633,1282 days
"Multiple Sites; Leukemia, other",PH-271115,"bambach, b",2016-08-03,2021-06-10,III,"(ACCL1333/CV185-155) A Phase III Randomized, Open Label, Multi-center Study of the Safety and Efficacy of Apixaban for Venous Thromboembolism Prevention versus No Systemic Anticoagulant Prophylaxis during Induction Chemotherapy in Children with Newly Diagnosed Acute Lymphoblastic Leukemia (ALL) or Lymphoblastic Lymphoma (T or B cell) Treated with Asparaginase",3,ACCL1333/CV185-155,1772 days
Multiple Sites; Bladder,I-69518,"chatta, g",2019-04-10,2022-12-01,II,(CITN-14) Randomized Phase II study of Atezolizumab (MPDL3280A) plus Recombinant Human IL-7 (CYT107) in patients with locally advanced or metastatic urothelial carcinoma,2,CITN-14,1331 days
Prostate,I-63418,"chatta, g",2019-06-07,2022-07-20,I/II,Phase Ib/II Study of Enzalutamide with Venetoclax (ABT-199) in Patients with Metastatic Castrate Resistant Prostate Cancer (mCRPC),-1,ABT-199,1139 days
Prostate,P-1900021,"chatta, g",2022-06-24,2023-03-15,I/II,"A PHASE 1/2 FEASIBILITY, SAFETY, AND ACTIVITY STUDY OF PSCA-SPECIFIC CHIMERIC ANTIGEN RECEPTOR ENGINEERED T CELLS (BPX-601) IN SUBJECTS WITH PREVIOUSLY TREATED ADVANCED SOLID TUMORS",-1,BPX-601,264 days
Other Hematopoietic,I-734920,"chen, g",2021-06-15,2022-08-04,II,Acalabrutinib for chronic graft versus host disease,2,,415 days
Other Hematopoietic,P-650420,"chen, g",2021-04-09,2022-12-23,III,"Phase 3 Multicenter, Double-Blind, Placebo-Controlled Trial of Viralym-M (ALVR105) for the Treatment of Patients With Virus-Associated Hemorrhagic Cystitis After Allogeneic Hematopoietic Cell Transplant",3,ALVR105,623 days
Lung,NCG-263614,"chen, h",2016-04-21,2022-08-17,III,(E4512 )A randomized  Phase III Trial for Surgically Resected Early Stage Non-Small Cell Lung Cancer: Crizotinib versus Placebo for Patients with Tumors Harboring the Anaplastic Lymphoma Kinase (ALK) Fusion Protein,3,E4512 ,2309 days
Lung,N-1039720,"chen, h",2021-02-25,2022-05-20,III,EA5182: Randomized Phase III Study of Combination AZD9291 (osimertinib) and Bevacizumab versus AZD9291 (osimertinib) Alone as First-Line Treatment for Patients with Metastatic EGFR-Mutant Non-Small Cell Lung Cancer NSCLC),3,osimertinib,449 days
